sector,area,price,feature,price_per_sqm,coordinates,latitude,longitude
sector 26,336,10.25,Premium,0.03050595238095238,"28.4757° N, 77.1032° E",28.4757,77.1032
sector 25,336,10.0,Standard,0.02976190476190476,"28.4844° N, 77.0860° E",28.4844,77.086
sector 25,336,12.66,Premium,0.03767857142857143,"28.4844° N, 77.0860° E",28.4844,77.086
sector 25,336,13.27,Premium,0.039494047619047616,"28.4844° N, 77.0860° E",28.4844,77.086
sector 24,336,9.0,Standard,0.026785714285714284,"28.4939° N, 77.1038° E",28.4939,77.1038
sector 108,338,4.0,Basic,0.011834319526627219,"28.5134° N, 76.9830° E",28.5134,76.983
sector 108,343,4.1,Premium,0.0119533527696793,"28.5134° N, 76.9830° E",28.5134,76.983
sector 102,344,6.19,Premium,0.01799418604651163,"28.4750° N, 76.9715° E",28.475,76.9715
sector 102,344,5.36,Premium,0.01558139534883721,"28.4750° N, 76.9715° E",28.475,76.9715
sector 91,346,4.25,Premium,0.012283236994219654,"28.4014° N, 76.9225° E",28.4014,76.9225
sector 67,350,5.11,Premium,0.0146,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 67,350,6.69,Premium,0.019114285714285716,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 43,350,9.11,Basic,0.026028571428571425,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 43,350,9.75,Standard,0.027857142857142858,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 43,350,9.5,Premium,0.027142857142857142,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 67,350,5.3,Premium,0.015142857142857142,"28.3859° N, 77.0608° E",28.3859,77.0608
sector 43,350,9.19,Premium,0.026257142857142857,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 43,350,9.25,Premium,0.02642857142857143,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 43,350,9.85,Premium,0.028142857142857143,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 49,353,8.0,Standard,0.0226628895184136,"28.4121° N, 77.0480° E",28.4121,77.048
sector 49,353,7.8,Standard,0.02209631728045326,"28.4121° N, 77.0480° E",28.4121,77.048
sector 99,356,4.9,Standard,0.013764044943820226,"28.4640° N, 76.9614° E",28.464,76.9614
sector 99,356,5.5,Premium,0.01544943820224719,"28.4640° N, 76.9614° E",28.464,76.9614
sector 99,356,5.33,Premium,0.01497191011235955,"28.4640° N, 76.9614° E",28.464,76.9614
sector 99,356,5.96,Premium,0.016741573033707866,"28.4640° N, 76.9614° E",28.464,76.9614
sector 95,358,2.9,Premium,0.008100558659217877,"28.4172° N, 76.9081° E",28.4172,76.9081
sector 51,364,8.05,Premium,0.022115384615384617,"28.4320° N, 77.0686° E",28.432,77.0686
sector 17,368,5.72,Premium,0.015543478260869565,"28.4791° N, 77.0608° E",28.4791,77.0608
sector 99,369,6.61,Premium,0.017913279132791327,"28.4640° N, 76.9614° E",28.464,76.9614
sector 55,372,7.0,Premium,0.01881720430107527,"28.4281° N, 77.1100° E",28.4281,77.11
sector 99,376,6.6,Standard,0.0175531914893617,"28.4640° N, 76.9614° E",28.464,76.9614
sector 108,376,4.95,Standard,0.013164893617021277,"28.5134° N, 76.9830° E",28.5134,76.983
sector 47,381,10.26,Basic,0.026929133858267715,"28.4276° N, 77.0492° E",28.4276,77.0492
sector 99,385,5.98,Premium,0.015532467532467533,"28.4640° N, 76.9614° E",28.464,76.9614
sector 2,388,1.7,Basic,0.004381443298969072,"28.5095° N, 77.0320° E",28.5095,77.032
sector 75,390,1.7,Basic,0.004358974358974359,"28.3925° N, 77.0089° E",28.3925,77.0089
sector 99,390,5.2,Premium,0.013333333333333334,"28.4640° N, 76.9614° E",28.464,76.9614
sector 102,393,6.34,Premium,0.0161323155216285,"28.4750° N, 76.9715° E",28.475,76.9715
sector 102,393,6.55,Premium,0.016666666666666666,"28.4750° N, 76.9715° E",28.475,76.9715
sector 99,393,5.64,Premium,0.014351145038167938,"28.4640° N, 76.9614° E",28.464,76.9614
sector 22,399,2.0,Basic,0.005012531328320802,"28.5072° N, 77.0640° E",28.5072,77.064
sector 108,412,4.5,Premium,0.010922330097087379,"28.5134° N, 76.9830° E",28.5134,76.983
sector 38,413,6.27,Premium,0.015181598062953994,"28.4347° N, 77.0430° E",28.4347,77.043
sector 102,414,8.0,Premium,0.01932367149758454,"28.4750° N, 76.9715° E",28.475,76.9715
sector 102,414,7.0,Premium,0.016908212560386472,"28.4750° N, 76.9715° E",28.475,76.9715
sector 102,414,6.93,Premium,0.016739130434782607,"28.4750° N, 76.9715° E",28.475,76.9715
sector 102,414,6.43,Standard,0.015531400966183575,"28.4750° N, 76.9715° E",28.475,76.9715
sector 108,416,4.75,Standard,0.01141826923076923,"28.5134° N, 76.9830° E",28.5134,76.983
sector 43,418,10.2,Basic,0.024401913875598084,"28.4629° N, 77.0772° E",28.4629,77.0772
sector 25,418,13.25,Basic,0.031698564593301434,"28.4844° N, 77.0860° E",28.4844,77.086
sector 56,418,8.6,Basic,0.020574162679425835,"28.4245° N, 77.0991° E",28.4245,77.0991
sector 54,418,16.5,Basic,0.039473684210526314,"28.4348° N, 77.1089° E",28.4348,77.1089
