property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price_per_sqft,coordinates,latitude,longitude
house,sector 109,6.5,4.0,4.0,3+,New Property,5400.0,1.0,0.0,1.0,High,Low Floor,0.0012037037037037038,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,sector 37d,0.55,2.0,2.0,3,New Property,543.0,0.0,0.0,0.0,Medium,Mid Floor,0.0010128913443830571,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,sector 107,1.15,2.0,2.0,3,Relatively New,1281.0,0.0,0.0,0.0,Low,Low Floor,0.0008977361436377829,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,sector 66,3.5,3.0,4.0,3,Relatively New,2150.0,1.0,0.0,0.0,Medium,Mid Floor,0.0016279069767441861,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,sector 90,1.78,4.0,4.0,3+,Relatively New,2000.0,0.0,0.0,0.0,Medium,Mid Floor,0.0008900000000000001,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 43,2.5,3.0,2.0,3,Old Property,1674.0,0.0,0.0,0.0,Low,Mid Floor,0.0014934289127837516,"28.4629° N, 77.0772° E",28.4629,77.0772
house,sector 38,3.9,6.0,6.0,3+,Moderately Old,1836.0,1.0,0.0,0.0,Low,Mid Floor,0.0021241830065359475,"28.4347° N, 77.0430° E",28.4347,77.043
house,sector 3,0.55,2.0,2.0,1,Moderately Old,810.0,0.0,0.0,0.0,Low,Low Floor,0.0006790123456790124,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,sector 37d,1.67,4.0,4.0,3,Relatively New,2091.0,0.0,0.0,1.0,Medium,High Floor,0.0007986609277857484,"28.4478° N, 76.9703° E",28.4478,76.9703
flat,sector 90,0.65,2.0,2.0,3,Relatively New,1050.0,0.0,0.0,0.0,Medium,Mid Floor,0.0006190476190476191,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,sector 65,5.5,3.0,4.0,3,Relatively New,2803.0,1.0,0.0,0.0,Low,Mid Floor,0.001962183374955405,"28.4030° N, 77.0690° E",28.403,77.069
flat,sector 90,2.05,4.0,4.0,3+,Relatively New,2005.0,0.0,0.0,1.0,Low,Mid Floor,0.0010224438902743142,"28.4085° N, 76.9369° E",28.4085,76.9369
house,sector 51,2.25,6.0,3.0,3+,Relatively New,900.0,0.0,0.0,0.0,Medium,Mid Floor,0.0025,"28.4320° N, 77.0686° E",28.432,77.0686
house,sector 33,11.0,5.0,6.0,3,New Property,4125.0,1.0,0.0,0.0,Medium,Mid Floor,0.0026666666666666666,"28.4420° N, 77.0207° E",28.442,77.0207
flat,sector 102,1.41,2.0,2.0,3,Relatively New,1238.0,0.0,0.0,0.0,Low,Low Floor,0.0011389337641357026,"28.4750° N, 76.9715° E",28.475,76.9715
flat,sector 79,1.65,3.0,3.0,0,Relatively New,1815.0,0.0,0.0,0.0,Low,High Floor,0.0009090909090909091,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,sector 83,0.98,2.0,2.0,3,Relatively New,1300.0,0.0,0.0,1.0,Medium,Mid Floor,0.0007538461538461539,"28.3986° N, 76.9647° E",28.3986,76.9647
flat,sector 14,2.2,3.0,4.0,3+,Old Property,1956.0,0.0,0.0,0.0,Low,Mid Floor,0.0011247443762781187,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,sector 86,1.5,3.0,3.0,1,Relatively New,1550.0,0.0,0.0,0.0,High,High Floor,0.000967741935483871,"28.3986° N, 76.9384° E",28.3986,76.9384
house,sector 103,4.35,4.0,4.0,3+,Relatively New,3222.0,1.0,1.0,1.0,Medium,Low Floor,0.001350093109869646,"28.4949° N, 76.9845° E",28.4949,76.9845
flat,sector 69,1.3,3.0,3.0,1,Relatively New,1419.0,0.0,0.0,0.0,Medium,High Floor,0.000916138125440451,"28.3966° N, 77.0341° E",28.3966,77.0341
